what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1399832778743
locale,sysinfo,,,"pt_BR",1399832778743
processors,sysinfo,,,"4",1399832778743
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1399832778743
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1399832778743
java.specification.name,sysinfo,,,"Java Platform API Specification",1399832778743
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1399832778743
java.specification.version,sysinfo,,,"1.6",1399832778743
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1399832778743
java.version,sysinfo,,,"1.6.0_24",1399832778743
java.vm.info,sysinfo,,,"mixed mode, sharing",1399832778743
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1399832778743
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1399832778743
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1399832778743
java.vm.specification.version,sysinfo,,,"1.0",1399832778743
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1399832778743
java.vm.version,sysinfo,,,"19.1-b02",1399832778743
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1399832778754
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1399832778793
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1399832779107
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1399832779261
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1399832779263
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1399832779510
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1399832779613
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1399832779711
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1399832779718
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1399832779755
